Type,location,id,transforms--timedata,edges--elec_edge--unidirectional,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--has_capacity,edges--elec_edge--constraints--MustRunConstraint,edges--elec_edge--existing_capacity,edges--elec_edge--investment_cost,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--end_vertex,edges--elec_edge--availability--timeseries--path,edges--elec_edge--availability--timeseries--header,Note
MustRun,Amazonas,Amazonas_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,22693.85,0,50,0.1,20,12820,0.1,1,elec_proxy_N,system/availability_hydro_ror.csv,Amazonas_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Doce,Doce_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1604,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Doce_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Grande,Grande_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2576.8,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Grande_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Iguacu,Iguacu_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2788.368,0,50,0.1,20,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror.csv,Iguacu_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Jacui_capivari,Jacui_capivari_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1165.4,0,50,0.1,20,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror.csv,Jacui_capivari_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Jequitinhonha,Jequitinhonha_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,462.011,0,50,0.1,20,12820,0.1,1,elec_proxy_NE,system/availability_hydro_ror.csv,Jequitinhonha_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paraiba_do_sul,Paraiba_do_sul_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1281.787,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Paraiba_do_sul_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Parana,Parana_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,10151.2,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Parana_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paranaiba,Paranaiba_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1235.4,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Paranaiba_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paranapanema,Paranapanema_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1221.3,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Paranapanema_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Sao_francisco,Sao_francisco_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,7441.601,0,50,0.1,20,12820,0.1,1,elec_proxy_NE,system/availability_hydro_ror.csv,Sao_francisco_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Tiete,Tiete_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1510.99,0,50,0.1,20,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror.csv,Tiete_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Tocantins,Tocantins_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2682.7,0,50,0.1,20,12820,0.1,1,elec_proxy_N,system/availability_hydro_ror.csv,Tocantins_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Uruguai,Uruguai_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2507.6,0,50,0.1,20,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror.csv,Uruguai_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
